trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.999}",30,-71,-631.3908747727531,"{0: 59, 1: 9, 2: 20, 3: 3, 4: 10}",0
2,False,"{'a': 0.9, 'e': 0.998001}",25,-80,-519.5778392880896,"{0: 64, 1: 10, 2: 21, 3: 2, 4: 8}",0
3,False,"{'a': 0.9, 'e': 0.997002999}",25,-76,-506.7178742251675,"{0: 66, 1: 7, 2: 16, 3: 4, 4: 8}",0
4,False,"{'a': 0.9, 'e': 0.996005996001}",25,-100,-818.3808399662478,"{0: 67, 1: 8, 2: 29, 3: 13, 4: 8}",0
5,False,"{'a': 0.9, 'e': 0.995009990004999}",25,-31,-247.17745619049145,"{0: 38, 1: 3, 2: 9, 3: 2, 4: 4}",0
6,False,"{'a': 0.9, 'e': 0.994014980014994}",20,3,-59.13282999074814,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.9, 'e': 0.993020965034979}",20,9,-54.145139432057036,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.9, 'e': 0.992027944069944}",30,-7,-192.04366194763762,"{0: 23, 1: 6, 2: 3, 3: 2, 4: 3}",0
9,False,"{'a': 0.9, 'e': 0.991035916125874}",30,-26,-460.02073912449566,"{0: 26, 1: 11, 2: 9, 3: 2, 4: 8}",0
10,False,"{'a': 0.9, 'e': 0.9900448802097482}",25,-100,-824.6488038953943,"{0: 71, 1: 12, 2: 21, 3: 9, 4: 12}",0
11,False,"{'a': 0.9, 'e': 0.9890548353295384}",20,-22,-165.63220452371232,"{0: 27, 1: 5, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.9, 'e': 0.9880657804942089}",25,-52,-477.88547645729386,"{0: 43, 1: 10, 2: 12, 3: 5, 4: 7}",0
13,False,"{'a': 0.9, 'e': 0.9870777147137147}",20,-60,-349.4036846736123,"{0: 51, 1: 5, 2: 16, 3: 4, 4: 4}",0
14,False,"{'a': 0.9, 'e': 0.986090636999001}",35,-100,-737.7039974037098,"{0: 71, 1: 21, 2: 31, 3: 3, 4: 9}",0
15,False,"{'a': 0.9, 'e': 0.985104546362002}",20,-23,-62.9063981153763,"{0: 30, 1: 5, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.9841194418156399}",20,-100,-574.624325305441,"{0: 71, 1: 13, 2: 25, 3: 4, 4: 7}",0
17,False,"{'a': 0.9, 'e': 0.9831353223738244}",25,-51,-335.5845329885765,"{0: 51, 1: 9, 2: 8, 3: 2, 4: 6}",0
18,False,"{'a': 0.9, 'e': 0.9821521870514505}",20,2,-50.005082303211104,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.981170034864399}",20,-100,-513.2318089099801,"{0: 80, 1: 8, 2: 20, 3: 4, 4: 8}",0
20,False,"{'a': 0.9, 'e': 0.9801888648295347}",20,-100,-720.9923955707222,"{0: 70, 1: 11, 2: 21, 3: 9, 4: 9}",0
21,False,"{'a': 0.9, 'e': 0.9792086759647052}",20,11,-33.59377260823589,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.9782294672887404}",20,-1,-136.6558046559733,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 2}",1
23,False,"{'a': 0.9, 'e': 0.9772512378214517}",25,-54,-398.32035937029883,"{0: 46, 1: 6, 2: 20, 3: 2, 4: 5}",0
24,False,"{'a': 0.9, 'e': 0.9762739865836302}",35,-100,-538.2269668723029,"{0: 88, 1: 10, 2: 23, 3: 8, 4: 6}",0
25,False,"{'a': 0.9, 'e': 0.9752977125970466}",20,-9,-205.15258621477167,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 4}",0
26,False,"{'a': 0.9, 'e': 0.9743224148844496}",25,-100,-798.1922882435351,"{0: 61, 1: 20, 2: 29, 3: 5, 4: 10}",0
27,False,"{'a': 0.9, 'e': 0.9733480924695651}",25,-56,-344.3091746585565,"{0: 50, 1: 7, 2: 17, 3: 3, 4: 4}",0
28,False,"{'a': 0.9, 'e': 0.9723747443770956}",30,-100,-774.2973005877475,"{0: 75, 1: 8, 2: 28, 3: 10, 4: 9}",0
29,False,"{'a': 0.9, 'e': 0.9714023696327184}",20,-100,-625.2870409040487,"{0: 71, 1: 12, 2: 25, 3: 3, 4: 9}",0
30,False,"{'a': 0.9, 'e': 0.9704309672630858}",20,-66,-392.92459968402835,"{0: 54, 1: 7, 2: 17, 3: 2, 4: 6}",0
31,False,"{'a': 0.9, 'e': 0.9694605362958226}",20,-100,-465.09327149005713,"{0: 76, 1: 13, 2: 23, 3: 2, 4: 6}",0
32,False,"{'a': 0.9, 'e': 0.9684910757595268}",20,-2,-146.72685282951466,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 2}",0
33,False,"{'a': 0.9, 'e': 0.9675225846837673}",35,-100,-505.9319106392104,"{0: 87, 1: 16, 2: 21, 3: 5, 4: 6}",0
34,False,"{'a': 0.9, 'e': 0.9665550620990835}",25,-74,-383.3990966249625,"{0: 62, 1: 9, 2: 22, 3: 1, 4: 5}",0
35,False,"{'a': 0.9, 'e': 0.9655885070369844}",25,-100,-453.5493127285495,"{0: 80, 1: 16, 2: 19, 3: 5, 4: 5}",0
36,False,"{'a': 0.9, 'e': 0.9646229185299474}",25,-100,-686.0983348777756,"{0: 80, 1: 9, 2: 22, 3: 1, 4: 13}",0
37,False,"{'a': 0.9, 'e': 0.9636582956114175}",20,-10,-69.01971702050122,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.9, 'e': 0.9626946373158061}",20,-100,-519.2525188223044,"{0: 79, 1: 11, 2: 20, 3: 1, 4: 9}",0
39,False,"{'a': 0.9, 'e': 0.9617319426784903}",20,-100,-592.3206405787363,"{0: 72, 1: 8, 2: 28, 3: 5, 4: 7}",0
40,False,"{'a': 0.9, 'e': 0.9607702107358118}",35,-79,-533.7886340182321,"{0: 73, 1: 16, 2: 14, 3: 1, 4: 10}",0
41,False,"{'a': 0.9, 'e': 0.959809440525076}",30,-100,-645.925122874178,"{0: 78, 1: 9, 2: 29, 3: 7, 4: 7}",0
42,False,"{'a': 0.9, 'e': 0.9588496310845509}",30,-100,-689.3980998504131,"{0: 72, 1: 16, 2: 30, 3: 4, 4: 8}",0
