trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-11,-177.9817543310319,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,-13,-326.63640486831645,"{0: 21, 1: 2, 2: 13, 3: 3, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-27,-226.20047773923346,"{0: 34, 1: 7, 2: 11, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-403.51840807658425,"{0: 80, 1: 11, 2: 18, 3: 8, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-15,-187.3490384509996,"{0: 19, 1: 6, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-76,-554.1802374358472,"{0: 56, 1: 10, 2: 26, 3: 2, 4: 7}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,1,-23.914385926830484,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",35,-2,-151.9839910894418,"{0: 21, 1: 5, 2: 6, 3: 5, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,-86,-546.8222085159821,"{0: 76, 1: 12, 2: 22, 3: 3, 4: 8}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-100,-813.7923519106654,"{0: 68, 1: 12, 2: 25, 3: 10, 4: 10}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-100,-845.1189241197961,"{0: 70, 1: 11, 2: 24, 3: 7, 4: 13}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-84,-673.7156578573008,"{0: 63, 1: 14, 2: 16, 3: 5, 4: 11}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-81,-507.8166696015291,"{0: 68, 1: 4, 2: 18, 3: 2, 4: 9}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-52,-338.279862408953,"{0: 44, 1: 7, 2: 13, 3: 4, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-30,-208.24247774350633,"{0: 27, 1: 8, 2: 13, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-493.0713628719236,"{0: 77, 1: 10, 2: 24, 3: 2, 4: 7}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-633.1106492252336,"{0: 64, 1: 14, 2: 29, 3: 8, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-65,-397.1362536229677,"{0: 58, 1: 4, 2: 19, 3: 4, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-26,-241.36776578455866,"{0: 25, 1: 6, 2: 11, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-623.2336265902225,"{0: 68, 1: 13, 2: 24, 3: 9, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,2,-41.26893676063036,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",35,-61,-530.3898069364425,"{0: 56, 1: 13, 2: 14, 3: 6, 4: 7}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-68,-444.1487662816738,"{0: 58, 1: 4, 2: 15, 3: 4, 4: 7}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-100,-672.8076908548716,"{0: 71, 1: 10, 2: 25, 3: 5, 4: 9}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-38,-362.5535068466916,"{0: 40, 1: 4, 2: 11, 3: 2, 4: 6}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-100,-647.2335636349864,"{0: 78, 1: 6, 2: 27, 3: 5, 4: 9}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-100,-827.6197043988215,"{0: 64, 1: 11, 2: 25, 3: 9, 4: 11}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,-18,-296.38252001811065,"{0: 25, 1: 5, 2: 10, 3: 5, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-67,-459.7424015452297,"{0: 49, 1: 9, 2: 20, 3: 4, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,9,-24.150577195989552,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
